Rank,Track Name,Artist Names,Plays,Album,Genre
1,Die With A Smile,Lady Gaga,"67,113,128",Die With A Smile,Pop
2,APT.,ROSÉ,"65,463,651",rosie,Pop
3,All I Want for Christmas Is You,Mariah Carey,"47,514,211",Merry Christmas,Pop
4,Last Christmas,Wham!,"46,992,149",LAST CHRISTMAS,Pop
5,BIRDS OF A FEATHER,Billie Eilish,"46,095,572",HIT ME HARD AND SOFT,Alternative Pop
6,Rockin' Around The Christmas Tree,Brenda Lee,"40,460,504",Merry Christmas From Brenda Lee,Rockability
7,That's So True,Gracie Abrams,"40,045,248",The Secret of Us (Deluxe),Pop
8,luther (with sza),Kendrick Lamar,"38,270,262",GNX,R&b
9,Jingle Bell Rock,Bobby Helms,"36,801,037",Jingle Bell Rock/Captain Santa Claus (...),Rockability
10,Who,Jimin,"35,898,868",MUSE,K-Pop
11,Santa Tell Me,Ariana Grande,"31,559,275",Santa Tell Me,Pop
12,Espresso,Sabrina Carpenter,"31,181,720",Short n' Sweet,Pop
13,Sailor Song,Gigi Perez,"30,203,100",Sailor Song,Pop
14,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,"28,134,094",A Winter Romance,Jazz
15,Ma Meilleure Ennemie (from the series Arcane League of L...),Arcane,"27,668,582",Arcane League of Legends: Season 2 ...,Electronic
16,Snowman,Sia,"27,458,578",Everyday Is Christmas (Deluxe Edition),Pop
17,WILDFLOWER,Billie Eilish,"27,098,013",HIT ME HARD AND SOFT,Alternative Pop
18,It's the Most Wonderful Time of the Year,Andy Williams,"26,796,590",The Andy Williams Christmas Album,Jazz
19,Timeless (with Playboi Carti),The Weeknd,"26,719,332",Timeless,Hip-Hop
20,tv off (feat. lefty gunplay),Kendrick Lamar,"25,955,853",GNX,Hip-Hop
21,Underneath the Tree,Kelly Clarkson,"25,915,495",Wrapped In Red,Pop
22,Tu Boda,Oscar Maydon,"25,515,308",Tu Boda,Corridos tumbados
23,"Good Luck, Babe!",Chappell Roan,"25,024,252","Good Luck, Babe!",Pop
24,It's Beginning to Look a Lot like Christmas,Michael Bublé,"24,073,016",Christmas,Jazz
25,Taste,Sabrina Carpenter,"24,070,330",Taste,Pop
26,Beautiful Things,Benson Boone,"23,812,306",Beautiful Things,Pop Rock
27,Qué Pasaría...,Rauw Alejandro,"23,443,661",Qué Pasaría...,Reggaeton
28,Si Antes Te Hubiera Conocido,KAROL G,"23,431,171",Si Antes Te Hubiera Conocido,Reggaeton
29,toxic till the end,ROSÉ,"22,405,419",rosie,Pop
30,Feliz Navidad,José Feliciano,"21,780,383",Feliz Navidad,Latin Pop
31,Khé?,Rauw Alejandro,"21,642,535",KHE?,Reggaeton
32,squabble up,Kendrick Lamar,"21,388,420",GNX,Hip-Hop
33,Running Wild,Jin,"21,214,018",Running Wild,Pop
34,Please Please Please,Sabrina Carpenter,"20,835,384",Short n' Sweet,Pop
35,Holly Jolly Christmas,Michael Bublé,"20,793,207",Christmas,Christmas
36,EL CLÚB,Bad Bunny,"20,150,736",nadie,Reggaeton
37,Lose Control,Teddy Swims,"19,971,268",Lose Control,Soul
38,The Night We Met,Lord Huron,"19,702,219",Strange Trails,Alternative
39,I Wanna Be Yours,Arctic Monkeys,"19,360,536",AM,Indie Rock
40,Sleigh Ride,The Ronettes,"19,094,747",Sleigh Ride,Pop
41,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,"18,788,414","The Idol, Vol. 1",Pop
42,End of Beginning,Djo,"18,774,470",End of Beginning,Indie Pop
43,DEGENERE (feat. benny blanco),Myke Towers,"18,505,869",DEGENERE,Hip-Hop
44,we can't be friends (wait for your love),Ariana Grande,"18,439,509",eternal sunshine,R&B
45,NADIE,Tito Double P,"18,347,269",NADIE,Regional Mexican
46,"I Love You, I'm Sorry",Gracie Abrams,"17,687,452",The Secret of Us,Pop
47,Too Sweet,Hozier,"17,571,366",Unreal Unearth: Unaired,Folk Rock
48,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis","17,352,465",Flower Boy,Hip-Hop
49,It's Beginning to Look a Lot Like Christmas (with Mitchell A...),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra","17,352,450",Greatest Christmas Songs,Pop
50,A Bar Song (Tipsy),Shaboozey,"17,229,164","Where I've Been, Isn't Where I'm Going",Country
